,R R R,B R R,R B R,R R B,B B R,B R B,R B B,B B B
R R R,0,3984,123763,154962,24659,138465,118641,350768
B R R,3984,0,134149,38592,65357,136796,137143,117889
R B R,123763,134149,0,83074,94477,187548,137104,138099
R R B,154962,38592,83074,0,180785,94376,65551,24580
B B R,24659,65357,94477,180785,0,82993,38777,154752
B R B,138465,136796,187548,94376,82993,0,134511,123996
R B B,118641,137143,137104,65551,38777,134511,0,4099
B B B,350768,117889,138099,24580,154752,123996,4099,0
