,R R R,B R R,R B R,R R B,B B R,B R B,R B B,B B B
R R R,0,2,466,812,26,386,282,612
B R R,1992,0,908,1854,102,912,872,1534
R B R,1292,834,0,228,222,770,828,1328
R R B,882,64,1590,0,840,1602,1776,1924
B B R,1928,1782,1610,812,0,1616,62,898
B R B,1324,810,850,210,244,0,804,1296
R B B,1464,842,890,106,1856,906,0,1982
B B B,610,242,400,26,802,476,2,0
